title,quarter,OperatingCashFlow,InvestingCashFlow,FinancingCashFlow,IncreaseInCashAndCashEquivalents,EndCashPosition
DB하이텍,18년 12월,"1,803.4","-1,173.0",-508.9,116.1,"1,191.1"
DB하이텍,19년 12월,"1,610.8","-1,239.5",-709.4,-343.3,847.8
DGB금융지주,15년 12월,"1,006.5","-9,155.8","11,030.6","3,386.8","9,097.4"
DGB금융지주,16년 12월,326.3,"-5,454.3","5,252.9",204.6,"9,302.1"
DGB금융지주,17년 12월,16.1,"-5,469.0","5,866.4",239.1,"9,541.2"
DGB금융지주,18년 12월,"3,985.3","-11,079.2","4,842.9","-2,210.7","7,330.5"
DGB금융지주,19년 12월,"-9,588.6","2,446.8","8,458.2","1,313.6","8,644.1"
DRB동일,15년 12월,634.9,-365.1,-135.0,122.8,"1,161.9"
DRB동일,16년 12월,623.4,-664.3,107.0,59.6,"1,221.5"
DRB동일,17년 12월,221.1,-411.7,-73.1,-299.2,922.3
DRB동일,18년 12월,299.9,-447.2,170.1,24.6,946.9
DRB동일,19년 12월,418.3,-411.5,44.8,54.7,"1,001.5"
DSR,15년 12월,282.4,-134.0,-115.0,33.5,48.0
DSR,16년 12월,105.3,-125.1,47.5,28.8,76.8
DSR,17년 12월,64.1,-280.4,183.0,-35.8,41.0
DSR,18년 12월,45.8,-30.4,-36.4,-20.6,20.5
DSR,19년 12월,137.6,-112.7,49.0,72.7,93.1
DSR제강,15년 12월,333.3,-65.1,-255.6,12.6,26.1
DSR제강,16년 12월,139.5,-64.2,-67.8,7.5,33.6
DSR제강,17년 12월,38.1,-103.6,52.8,-12.8,20.8
DSR제강,18년 12월,102.9,-92.5,6.9,17.1,37.9
DSR제강,19년 12월,145.4,-46.2,-91.4,7.6,45.5
E1,15년 12월,"1,843.2",-550.9,-614.1,678.4,"1,432.7"
E1,16년 12월,281.6,-105.4,-167.5,9.2,"1,442.0"
E1,17년 12월,"-1,289.7","1,941.8",-459.8,188.1,"1,630.1"
E1,18년 12월,"1,847.4",-268.1,"-2,214.7",-635.3,994.8
E1,19년 12월,546.9,-17.6,-750.8,-221.1,773.7
F&F,15년 12월,156.6,-46.5,-111.5,-1.4,0.9
F&F,16년 12월,558.1,167.2,-626.4,98.9,99.8
F&F,17년 12월,666.4,-387.9,-53.9,222.9,322.8
F&F,18년 12월,273.1,-330.4,-120.3,-149.8,173.0
F&F,19년 12월,"1,616.2","-1,093.6",-244.6,276.1,449.0
GKL,15년 12월,864.8,-178.9,-623.1,63.7,"1,948.2"
GKL,16년 12월,"1,377.5",-897.8,-515.7,-34.8,"1,913.4"
GKL,17년 12월,784.5,-826.0,-614.9,-659.0,"1,254.4"
GKL,18년 12월,928.5,-418.7,-453.2,57.8,"1,312.2"
GKL,19년 12월,"1,175.9",-515.7,-649.9,9.4,"1,321.6"
GS,15년 12월,"6,529.9","-29,441.3","22,044.4",-731.0,"5,067.1"
GS,16년 12월,"8,516.8","-5,235.9","-3,363.5",-29.1,"5,038.0"
GS,17년 12월,"13,064.8","-14,182.0","3,345.1","2,193.5","7,231.5"
GS,18년 12월,"12,692.0","-8,358.9","-5,150.3",-695.8,"6,535.7"
GS,19년 12월,"15,864.1","-3,438.2","-11,664.5",831.0,"7,366.7"
GS건설,15년 12월,-77.6,"5,078.7","-2,282.4","2,774.4","24,286.3"
GS건설,16년 12월,812.1,"-2,487.2",781.8,-723.0,"23,563.3"
GS건설,17년 12월,"-2,054.9",135.0,"2,999.6",859.7,"24,423.0"
GS건설,18년 12월,"10,329.5","-2,347.6","-16,556.2","-8,496.8","15,926.2"
GS건설,19년 12월,"7,592.7","-7,476.2","1,835.3","2,003.4","17,929.6"
GS글로벌,15년 12월,-14.3,77.9,0.4,79.7,509.0
GS글로벌,16년 12월,733.6,"-1,581.6",801.9,-17.3,491.7
GS글로벌,17년 12월,818.3,"-1,314.3",774.8,293.2,784.9
GS글로벌,18년 12월,-103.5,841.1,-890.4,-104.8,680.2
GS글로벌,19년 12월,332.1,-79.0,-163.2,146.1,826.3
GS리테일,15년 12월,"4,440.2","-8,856.5","4,025.8",-390.6,652.8
GS리테일,16년 12월,"4,345.0",77.7,"-4,635.5",-212.7,440.1
GS리테일,17년 12월,"4,422.3","-4,233.4",281.8,467.0,907.1
GS리테일,18년 12월,"3,247.8","-3,848.8",311.5,-289.6,617.5
GS리테일,19년 12월,"8,043.3","-3,011.2","-5,073.6",-40.0,577.5
HDC,15년 12월,"10,283.9",-643.4,"-6,645.1","2,998.0","5,476.8"
HDC,16년 12월,"8,397.7",-889.6,"-1,458.2","6,045.4","11,522.2"
HDC,17년 12월,"4,532.4","-2,289.7",-975.7,"1,264.9","12,787.1"
HDC,18년 12월,"1,279.5","-1,322.5","-9,985.3","-10,026.5","2,760.6"
HDC,19년 12월,"1,700.2","-4,086.4","1,016.5","-1,366.0","1,394.6"
HDC아이콘트롤스,15년 12월,78.2,-649.8,645.9,74.3,105.6
HDC아이콘트롤스,16년 12월,72.3,-13.4,-50.6,8.3,114.0
HDC아이콘트롤스,17년 12월,61.8,57.3,-24.7,93.9,207.8
HDC아이콘트롤스,18년 12월,370.7,-350.2,-33.7,-13.6,194.8
HDC아이콘트롤스,19년 12월,-45.1,-3.3,-63.0,-111.2,83.6
HDC현대EP,15년 12월,621.7,-45.5,-381.7,196.5,341.4
HDC현대EP,16년 12월,496.0,-139.8,-384.4,-26.6,314.8
HDC현대EP,17년 12월,77.2,-207.8,54.2,-85.3,229.5
HDC현대EP,18년 12월,82.0,-77.9,-59.3,-56.7,172.8
HDC현대EP,19년 12월,"1,072.6",-305.1,-633.9,133.8,306.6
HDC현대산업개발,15년 12월, , , , , 
HDC현대산업개발,16년 12월, , , , , 
HDC현대산업개발,17년 12월, , , , , 
HDC현대산업개발,18년 12월,"4,546.4","-2,489.0",283.3,"2,340.7","8,947.6"
HDC현대산업개발,19년 12월,"-1,199.9","-2,378.2","-1,758.9","-5,337.0","3,610.6"
HMM,15년 12월,"-1,565.8","1,770.2","-2,636.5","-2,473.0","2,035.7"
HMM,16년 12월,"-6,389.6","14,739.1","-5,029.5","3,301.1","5,336.7"
HMM,17년 12월,"-2,753.8","-2,279.7","6,615.4","1,426.9","6,763.7"
HMM,18년 12월,"-4,169.0","-6,727.9","9,873.9","-1,134.6","5,629.0"
HMM,19년 12월,"3,993.3","-8,772.0","5,728.5",821.9,"6,450.9"
HSD엔진,15년 12월,-441.5,148.9,296.1,4.8,454.8
HSD엔진,16년 12월,45.4,414.3,-186.5,273.4,728.2
HSD엔진,17년 12월,-693.8,126.5,566.1,-5.8,722.4
HSD엔진,18년 12월,184.4,-147.5,-161.1,-124.3,598.1
HSD엔진,19년 12월,-647.4,-7.0,269.7,-386.8,211.3
JB금융지주,15년 12월,"-7,449.3",-569.6,"6,559.6","-1,459.4","5,123.4"
JB금융지주,16년 12월,"-6,691.9",21.3,"8,556.7","1,925.7","7,049.1"
JB금융지주,17년 12월,"11,090.0",-644.9,"-12,460.1","-2,004.5","5,044.6"
JB금융지주,18년 12월,"4,320.9",790.1,"-6,253.1","-1,146.3","3,898.3"
JB금융지주,19년 12월,150.5,-258.7,355.6,254.0,"4,152.2"
JW생명과학,15년 12월,259.0,-246.6,-4.4,8.0,8.6
JW생명과학,16년 12월,160.8,-112.8,-52.8,-4.8,3.8
JW생명과학,17년 12월,220.5,-90.3,-131.1,-0.8,3.0
JW생명과학,18년 12월,361.3,-103.9,-132.7,124.8,127.8
JW생명과학,19년 12월,242.8,-83.7,-188.2,-29.2,98.6
JW중외제약,15년 12월,-41.7,-73.5,146.8,32.1,81.8
JW중외제약,16년 12월,67.4,-87.7,338.3,310.7,392.5
JW중외제약,17년 12월,334.5,-98.9,-278.7,-71.6,321.0
JW중외제약,18년 12월,521.1,-139.2,-411.9,-11.5,309.5
JW중외제약,19년 12월,555.3,-219.8,-241.6,109.2,418.6
JW홀딩스,15년 12월,-239.8,-382.4,629.8,12.3,153.4
JW홀딩스,16년 12월,-292.1,-510.3,"1,188.6",378.8,532.2
JW홀딩스,17년 12월,105.1,146.2,-335.4,-116.0,416.2
JW홀딩스,18년 12월,"1,957.6",-912.6,-734.0,328.9,745.1
JW홀딩스,19년 12월,986.8,-219.9,-368.6,412.6,"1,157.6"
KB금융,15년 12월,"21,936.3","-50,753.3","32,552.7","4,391.2","74,579.2"
KB금융,16년 12월,"11,249.9","-44,385.4","31,813.3",-430.8,"74,148.4"
KB금융,17년 12월,"-48,360.3","-87,294.2","146,887.5","9,900.6","84,049.0"
KB금융,18년 12월,"-89,576.2","-44,802.9","117,437.7","-17,620.8","66,428.2"
KB금융,19년 12월,"94,007.1","-123,344.2","22,776.1","-5,190.9","61,237.3"
KC그린홀딩스,15년 12월,389.9,-393.0,-40.1,-39.6,411.5
KC그린홀딩스,16년 12월,350.2,-409.9,9.0,-50.4,361.1
KC그린홀딩스,17년 12월,145.9,273.6,-170.7,243.0,604.1
KC그린홀딩스,18년 12월,13.6,-113.7,216.4,107.0,711.1
KC그린홀딩스,19년 12월,954.2,-368.1,26.9,612.1,"1,323.3"
KC코트렐,15년 12월,-18.7,-12.5,-36.3,-66.7,47.6
KC코트렐,16년 12월,119.4,-66.2,63.1,116.2,163.7
KC코트렐,17년 12월,30.2,-16.2,-8.6,1.1,164.8
KC코트렐,18년 12월,-67.7,-63.2,112.5,-22.0,142.8
KC코트렐,19년 12월,503.1,-59.3,-92.9,352.3,495.2
KEC,15년 12월,67.1,-91.0,8.9,-15.1,64.9
KEC,16년 12월,309.6,-290.5,71.1,90.5,155.4
KEC,17년 12월,124.3,27.6,-219.9,-69.9,85.5
KEC,18년 12월,279.7,-96.9,-96.1,87.0,172.4
KEC,19년 12월,175.6,-181.4,-10.7,-16.6,155.8
KG동부제철,15년 12월,903.4,"2,023.8","-2,570.1",359.5,752.5
KG동부제철,16년 12월,"3,174.8",-289.1,"-2,163.4",723.0,"1,475.4"
KG동부제철,17년 12월,"1,831.3",97.0,"-1,987.8",-74.4,"1,401.0"
KG동부제철,18년 12월,-82.2,-327.0,-108.2,-491.3,909.7
KG동부제철,19년 12월,"-1,698.0",-227.7,"1,652.2",-275.8,633.9
KG케미칼,15년 12월,-521.0,-435.0,683.1,-273.0,378.5
KG케미칼,16년 12월,758.9,-764.0,611.9,607.2,985.7
KG케미칼,17년 12월,"1,894.7","-1,378.0",188.9,705.3,"1,691.0"
KG케미칼,18년 12월,584.7,-451.8,-16.0,116.4,"1,807.5"
KG케미칼,19년 12월,"1,467.5","2,465.1","-2,439.6","1,465.1","3,272.5"
KISCO홀딩스,15년 12월,"2,015.7","-1,582.2",-233.7,199.9,899.3
KISCO홀딩스,16년 12월,"1,149.8",-985.0,-72.3,92.7,992.1
KISCO홀딩스,17년 12월,"1,506.3",-931.0,-79.5,493.8,"1,485.9"
KISCO홀딩스,18년 12월,774.4,-555.7,-92.6,124.5,"1,610.4"
KISCO홀딩스,19년 12월,674.6,"-1,147.0",70.7,-405.1,"1,205.3"
KPX케미칼,15년 12월,424.4,-414.4,-199.2,-187.1,298.4
KPX케미칼,16년 12월,638.3,-123.1,-196.2,324.6,623.0
KPX케미칼,17년 12월,393.4,-411.8,-218.0,-240.2,382.8
KPX케미칼,18년 12월,214.3,-394.7,-103.0,-283.9,98.9
KPX케미칼,19년 12월,655.1,-425.5,-294.6,-61.3,37.6
KPX홀딩스,15년 12월,607.2,-760.3,-27.6,-178.7,441.7
KPX홀딩스,16년 12월,991.6,-356.1,-205.8,438.7,880.4
KPX홀딩스,17년 12월,621.9,-282.2,-582.0,-244.7,635.7
KPX홀딩스,18년 12월,434.0,"-1,164.4",342.8,-387.2,248.4
KPX홀딩스,19년 12월,904.8,-535.6,-314.9,57.7,306.1
KR모터스,15년 12월,-194.8,-143.4,395.9,58.2,117.7
KR모터스,16년 12월,-93.5,128.8,-6.3,32.2,150.0
KR모터스,17년 12월,-47.3,-61.5,32.9,-80.8,69.2
KR모터스,18년 12월,-134.4,-98.8,472.8,238.8,308.1
KR모터스,19년 12월,-70.8,73.4,-155.0,-150.0,158.1
KSS해운,15년 12월,539.8,-418.4,-126.6,-6.1,66.4
KSS해운,16년 12월,549.6,-268.9,-195.9,84.0,150.4
KSS해운,17년 12월,761.1,-29.2,-393.9,337.9,488.4
KSS해운,18년 12월,825.0,11.9,"-1,079.5",-245.2,243.2
KSS해운,19년 12월,824.0,-354.3,-317.0,153.1,396.3
KTB투자증권,15년 12월,427.7,170.5,-430.6,167.7,"1,786.6"
KTB투자증권,16년 12월,"-1,496.4",169.1,"2,158.0",831.2,"2,617.9"
KTB투자증권,17년 12월,"-2,813.4",-12.0,"3,412.9",586.3,"3,204.2"
KTB투자증권,18년 12월,"2,189.4",262.9,"-1,249.5","1,204.1","4,408.3"
KTB투자증권,19년 12월,"-5,536.5","-2,102.3","5,590.5","-2,046.9","2,361.4"
KTcs,15년 12월,209.5,204.5,-83.6,330.4,475.6
KTcs,16년 12월,92.7,-30.3,-42.7,19.7,495.4
KTcs,17년 12월,138.8,-49.9,-36.9,52.0,547.3
KTcs,18년 12월,127.2,-28.4,-34.1,64.7,612.0
KTcs,19년 12월,250.1,-152.4,-181.3,-83.6,528.4
KTis,15년 12월,65.3,-140.0,-72.1,-146.8,187.8
KTis,16년 12월,193.0,-195.2,-40.3,-42.5,145.3
KTis,17년 12월,152.1,144.1,-27.1,269.0,414.3
KTis,18년 12월,53.3,-92.9,-27.1,-66.8,347.6
KTis,19년 12월,366.3,-209.5,-217.5,-60.6,287.0
LF,15년 12월,516.5,"-1,572.9",-16.1,"-1,064.9","1,689.0"
LF,16년 12월,"1,413.0","-2,337.1",527.7,-402.3,"1,286.7"
LF,17년 12월,"1,194.6",-287.1,-849.6,-13.2,"1,273.5"
LF,18년 12월,"1,246.9","1,390.3",-535.5,"2,090.0","3,363.4"
LF,19년 12월,"1,530.9","-2,424.5",27.9,-889.1,"2,474.3"
LG,15년 12월,"8,862.9","-3,682.7","-1,451.9","3,728.6","8,703.9"
LG,16년 12월,"8,782.0","-3,438.2","-2,754.5","2,586.4","11,290.4"
LG,17년 12월,"10,584.4","-6,892.9","-1,398.2","2,138.4","13,428.7"
LG,18년 12월,"4,949.4","-6,586.3","-1,264.1","-2,885.8","10,542.9"
LG,19년 12월,"8,186.7",-340.0,"-5,088.1","2,828.1","13,371.0"
LG디스플레이,15년 12월,"27,265.8","-27,319.3","-1,745.0","-1,381.8","7,516.6"
LG디스플레이,16년 12월,"36,409.1","-31,891.8","3,079.5","8,070.3","15,587.0"
LG디스플레이,17년 12월,"67,642.0","-64,810.7","8,622.4","10,438.6","26,025.6"
LG디스플레이,18년 12월,"44,841.2","-76,753.4","29,529.2","-2,375.4","23,650.2"
LG디스플레이,19년 12월,"27,065.5","-67,553.9","49,879.0","9,709.8","33,360.0"
LG상사,15년 12월,"2,977.1","-2,776.4",276.3,490.0,"5,289.2"
LG상사,16년 12월,"2,303.2","-2,179.9","-2,377.2","-2,177.5","3,111.7"
LG상사,17년 12월,"1,806.1",-102.0,-668.8,840.4,"3,952.1"
LG상사,18년 12월,307.9,-692.7,-73.2,-532.0,"3,420.1"
LG상사,19년 12월,"2,249.6",780.5,"-2,297.6",815.7,"4,235.8"
LG생활건강,15년 12월,"6,378.0","-3,470.1","-2,315.1",588.7,"3,969.4"
LG생활건강,16년 12월,"7,134.4","-4,055.3","-3,670.5",-580.9,"3,388.5"
LG생활건강,17년 12월,"7,354.8","-3,338.0","-3,511.2",473.4,"3,861.9"
LG생활건강,18년 12월,"8,171.2","-4,302.9","-3,780.4",104.5,"3,966.4"
LG생활건강,19년 12월,"11,396.4","-4,613.8","-4,294.0","2,504.6","6,471.0"
LG유플러스,15년 12월,"17,929.1","-15,106.9","-4,060.5","-1,237.9","2,921.5"
LG유플러스,16년 12월,"22,247.7","-14,923.5","-7,072.9",251.4,"3,172.8"
LG유플러스,17년 12월,"22,794.3","-13,583.0","-7,885.1","1,326.0","4,498.8"
LG유플러스,18년 12월,"20,694.4","-15,935.7","-5,468.7",-712.5,"3,786.3"
LG유플러스,19년 12월,"22,526.0","-32,143.4","12,200.6",957.3,"4,743.7"
LG이노텍,15년 12월,"6,783.6","-3,062.5","-4,084.6",-361.6,"3,602.9"
LG이노텍,16년 12월,"3,317.9","-3,559.0",64.7,-190.1,"3,412.8"
LG이노텍,17년 12월,"4,459.8","-8,344.0","4,224.9",282.5,"3,695.3"
LG이노텍,18년 12월,"10,623.4","-14,144.6","6,036.1","2,517.1","6,212.5"
LG이노텍,19년 12월,"7,690.4","-3,543.3","-2,388.7","1,783.3","7,995.8"
LG전자,15년 12월,"26,187.8","-19,332.1","-1,889.2","4,657.5","27,101.6"
LG전자,16년 12월,"31,579.9","-23,907.2","-2,788.3","3,049.8","30,151.4"
LG전자,17년 12월,"21,662.7","-25,828.7","8,408.4","3,354.6","33,506.0"
LG전자,18년 12월,"45,415.7","-44,202.9","8,192.5","9,197.9","42,703.9"
LG전자,19년 12월,"36,891.6","-20,832.6","-11,169.6","5,069.8","47,773.7"
LG하우시스,15년 12월,926.4,"-2,307.1","1,948.4",515.8,"1,804.7"
LG하우시스,16년 12월,"1,522.2",-890.6,"-1,404.5",-761.5,"1,043.2"
LG하우시스,17년 12월,274.3,"-2,530.6","2,518.9",216.3,"1,259.5"
LG하우시스,18년 12월,"1,406.6","-2,329.9","1,013.7",85.3,"1,344.8"
LG하우시스,19년 12월,"3,448.0","-1,956.7","-1,447.6",46.5,"1,391.3"
LG헬로비전,15년 12월,"3,682.4","-1,606.3","-1,877.2",198.9,"1,156.6"
LG헬로비전,16년 12월,"2,757.8","-1,603.8","-1,715.7",-561.8,594.8
LG헬로비전,17년 12월,"2,812.6","-2,741.0",-19.5,52.1,646.9
LG헬로비전,18년 12월,"2,625.6","-2,074.7",-107.0,443.9,"1,090.7"
LG헬로비전,19년 12월,"2,504.3","-1,146.6","-1,641.1",-283.3,807.4
LG화학,15년 12월,"31,721.3","-16,977.8","-7,574.7","7,169.0","17,049.2"
LG화학,16년 12월,"25,167.0","-17,368.0","-10,072.8","-2,305.5","14,743.7"
LG화학,17년 12월,"31,807.5","-16,403.6","-7,365.4","7,749.7","22,493.4"
LG화학,18년 12월,"21,249.7","-36,390.5","17,938.5","2,643.6","25,137.0"
LG화학,19년 12월,"31,211.0","-61,114.4","23,006.5","-6,250.7","18,886.3"
LIG넥스원,15년 12월,89.9,-649.3,865.8,311.6,348.6
LIG넥스원,16년 12월,"-1,076.7",-996.0,"1,844.5",-225.7,122.9
LIG넥스원,17년 12월,-363.8,"-1,149.9","2,285.1",769.8,892.6
LIG넥스원,18년 12월,"-1,138.4",-363.7,"1,146.0",-356.1,532.6
LIG넥스원,19년 12월,"1,510.0","-1,430.4",-325.7,-246.1,286.5
LS,15년 12월,"4,641.0","-3,427.8","-1,393.1",-153.5,"6,913.1"
LS,16년 12월,"8,079.3","-2,358.8","-6,119.4",-378.1,"6,535.0"
LS,17년 12월,"2,374.4","-4,030.1","1,490.2",-248.0,"6,287.0"
LS,18년 12월,498.6,"3,667.4","-2,315.1","1,978.4","8,265.4"
LS,19년 12월,"3,037.3","-1,663.1",472.3,"1,908.3","10,173.7"
LS네트웍스,15년 12월,108.8,-680.3,426.0,-145.4,129.8
LS네트웍스,16년 12월,-241.6,"1,528.0","-1,175.8",110.6,240.4
LS네트웍스,17년 12월,187.5,357.3,-333.2,210.8,451.2
LS네트웍스,18년 12월,89.5,45.2,-296.6,-161.8,289.4
LS네트웍스,19년 12월,-224.5,186.5,69.6,31.6,321.0
LS전선아시아,15년 12월,-50.6,98.9,10.5,65.3,65.4
LS전선아시아,16년 12월,256.6,-11.6,-28.6,219.4,284.7
LS전선아시아,17년 12월,-74.1,9.3,78.5,14.9,299.7
LS전선아시아,18년 12월,205.9,-442.7,21.4,-208.0,91.7
LS전선아시아,19년 12월,-227.8,96.7,263.5,133.1,224.8
MH에탄올,15년 12월,133.8,29.0,-131.6,31.5,31.6
MH에탄올,16년 12월,122.5,14.6,-155.0,-17.9,13.7
MH에탄올,17년 12월,33.4,-254.6,355.7,134.5,148.1
MH에탄올,18년 12월,-112.7,402.8,-369.2,-79.1,69.0
MH에탄올,19년 12월,113.7,-38.5,-53.4,21.7,90.8
NAVER,15년 12월,"8,513.7","-7,858.6",59.0,908.7,"8,133.9"
NAVER,16년 12월,"11,640.2","-9,417.1","6,978.5","9,128.4","17,262.3"
NAVER,17년 12월,"9,399.8","-13,103.3","6,362.4","1,813.4","19,075.8"
NAVER,18년 12월,"9,735.1","-3,882.9","7,509.8","14,153.1","33,228.8"
NAVER,19년 12월,"13,568.4","-10,781.3",523.4,"4,176.3","37,405.1"
NH투자증권,15년 12월,"6,353.0","-2,001.2","1,546.8","6,305.4","12,844.0"
NH투자증권,16년 12월,"22,531.2","-22,956.5","-5,166.2","-5,597.7","7,246.3"
NH투자증권,17년 12월,"8,763.0","-21,733.1","12,209.6","-1,275.2","5,971.1"
NH투자증권,18년 12월,"-15,954.8","9,602.5","7,293.1",406.0,"6,377.1"
NH투자증권,19년 12월,"2,490.8","-4,554.6","5,823.3","3,584.1","9,961.2"
NH프라임리츠,15년 12월, , , , , 
NH프라임리츠,16년 12월, , , , , 
NH프라임리츠,17년 12월, , , , , 
